source,workload,mode,scheduler,trial,clients,data_sets,precreate_per_set,ops_per_set,iterations,batch_size,offset,parent_count,fan_in,operation,phase,tx_count,seconds,ops_per_sec,key_conflicts,conflicts_per_tx,parent_write_parent_count,max_clients_per_parent,mean_clients_per_parent,local_failed_count,global_failed_count,fallback_tx_count,git_rev
madsim,mdtest,private,calvin,0,1,,,,,512,,,,directory_create,Directory creation,4,0.126417306,31.641237474,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,1,,,,,512,,,,directory_stat,Directory stat,4,0.125331690,31.915312081,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,1,,,,,512,,,,file_create,File creation,64,2.372593355,26.974702540,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,1,,,,,512,,,,file_stat,File stat,64,1.805048604,35.456108970,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,1,,,,,512,,,,file_unlink,File removal,64,2.392987571,26.744810870,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,1,,,,,512,,,,directory_remove,Directory removal,4,0.130046171,30.758306602,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,1,,,,,512,,,,directory_create,Directory creation,4,0.136426747,29.319763814,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,1,,,,,512,,,,directory_stat,Directory stat,4,0.112438893,35.574878881,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,1,,,,,512,,,,file_create,File creation,64,2.309000515,27.717620496,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,1,,,,,512,,,,file_stat,File stat,64,1.880837567,34.027393499,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,1,,,,,512,,,,file_unlink,File removal,64,2.303459985,27.784289902,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,1,,,,,512,,,,directory_remove,Directory removal,4,0.136307660,29.345379416,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,1,,,,,512,,,,directory_create,Directory creation,4,0.121985951,32.790661279,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,1,,,,,512,,,,directory_stat,Directory stat,4,0.097456882,41.043792064,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,1,,,,,512,,,,file_create,File creation,64,2.328184729,27.489227639,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,1,,,,,512,,,,file_stat,File stat,64,1.823810578,35.091363529,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,1,,,,,512,,,,file_unlink,File removal,64,2.427476741,26.364825219,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,1,,,,,512,,,,directory_remove,Directory removal,4,0.136931403,29.211706828,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,1,,,,,512,,,,directory_create,Directory creation,4,0.140555241,28.458561712,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,1,,,,,512,,,,directory_stat,Directory stat,4,0.109330738,36.586234331,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,1,,,,,512,,,,file_create,File creation,64,2.348359415,27.253068500,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,1,,,,,512,,,,file_stat,File stat,64,1.871594221,34.195446471,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,1,,,,,512,,,,file_unlink,File removal,64,2.315851903,27.635618632,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,1,,,,,512,,,,directory_remove,Directory removal,4,0.143512246,27.872185904,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,1,,,,,512,,,,directory_create,Directory creation,4,0.625215400,6.397795064,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,1,,,,,512,,,,directory_stat,Directory stat,4,0.521899340,7.664313199,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,1,,,,,512,,,,file_create,File creation,64,10.423840399,6.139771672,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,1,,,,,512,,,,file_stat,File stat,64,8.518564001,7.513003364,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,1,,,,,512,,,,file_unlink,File removal,64,10.331018704,6.194936030,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,1,,,,,512,,,,directory_remove,Directory removal,4,0.666519484,6.001324937,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,1,,,,,512,,,,directory_create,Directory creation,4,0.696712485,5.741249204,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,1,,,,,512,,,,directory_stat,Directory stat,4,0.520977669,7.677872274,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,1,,,,,512,,,,file_create,File creation,64,10.295073150,6.216565834,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,1,,,,,512,,,,file_stat,File stat,64,8.553446557,7.482363931,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,1,,,,,512,,,,file_unlink,File removal,64,10.362856922,6.175903082,,,,,,0,0,0,4d65fef
